DEPARTURES_PERFORMED,DISTANCE,AIR_TIME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,DATA_SOURCE,FUEL_CONSUMPTION
29,1005,3746,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11868,GCM,"Grand Cayman, Cayman Islands",614,11,IU,5578
29,1027,3580,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14321,PWM,"Portland, ME",699,1,DU,6336
29,1027,3641,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14321,PWM,"Portland, ME",888,4,DU,5732
29,1085,4566,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13514,MTY,"Monterrey, Mexico",698,4,IU,5234
29,1180,4162,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12693,KIN,"Kingston, Jamaica",614,11,IU,5578
29,1271,4718,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14681,SAP,"San Pedro Sula, Honduras",698,7,IU,5234
29,1271,4950,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14681,SAP,"San Pedro Sula, Honduras",614,12,IU,5578
29,1330,5219,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13252,MEX,"Mexico City, Mexico",614,7,IU,5578
29,1340,5909,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12094,HDN,"Hayden, CO",614,3,DU,5578
29,1420,5370,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14677,SAL,"San Salvador, El Salvador",614,9,IU,5578
29,1469,5983,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11874,GDL,"Guadalajara, Mexico",614,4,IU,5578
29,1469,6122,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11874,GDL,"Guadalajara, Mexico",614,3,IU,5578
29,1590,6210,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14869,SLC,"Salt Lake City, UT",626,12,DU,11023
29,1695,6191,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14832,SJD,"San Jose del Cabo, Mexico",888,9,IU,5732
29,1701,5811,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15084,SXM,"Philipsburg, Sint Maarten",622,4,IU,7319
29,1701,5862,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15084,SXM,"Philipsburg, Sint Maarten",622,11,IU,7319
29,1947,6865,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12892,LAX,"Los Angeles, CA",626,8,DU,11023
29,1947,7435,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12892,LAX,"Los Angeles, CA",622,6,DU,7319
29,1947,8228,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12892,LAX,"Los Angeles, CA",721,3,DU,5732
29,1969,7759,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11884,GEG,"Spokane, WA",888,3,DU,5732
29,2012,6733,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15513,UVF,"St. Lucia, Saint Lucia",614,11,IU,5578
29,2098,7185,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10711,BOG,"Bogota, Colombia",626,12,IU,11023
29,2098,7398,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10711,BOG,"Bogota, Colombia",622,9,IU,7319
29,2355,8347,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15455,UIO,"Quito, Ecuador",622,8,IU,7319
29,4395,13237,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10920,CDG,"Paris, France",359,9,IU,12787
29,4395,13592,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10920,CDG,"Paris, France",359,6,IU,12787
29,4395,13635,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10920,CDG,"Paris, France",624,3,IU,11684
29,4395,13937,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10920,CDG,"Paris, France",624,5,IU,11684
29,4401,13508,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10292,AMS,"Amsterdam, Netherlands",687,12,IU,12566
